data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6336970,586,PAK54298,54298,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Pakistan)","Bheel Communal Group (Pakistan)",6,,,0,60,"Southern Asia",Pakistan,Sindh,"Mirpur Khas","Mirpur Khas","Mirpur Khas",25.5316,69.003,1,"Daily Regional Times (Pakistan)",Subnational,"On November 7, members of Bheel community protested in Mirpur Khas city (Mirpur Khas, Sindh) demanding recovery of a person from their community who was abducted. [size=no report]",0,1573566094,PAK
6336971,586,PAK54340,54340,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Pakistan)","PPP: Pakistan Peoples Party",6,,,0,60,"Southern Asia",Pakistan,Sindh,"Karachi City","Karachi South",Karachi-Saddar,24.8542,67.016,1,"Daily Regional Times (Pakistan)",Subnational,"On November 7, under the banner of ""Asif Ali Zardari and Faryal Talpur Rihai Committee"", committee members held a protest outside the Karachi Press Club in Saddar town (Karachi, Sindh) demanding release of their arrested leaders. [size=no report]",0,1573566094,PAK
6338763,100,BGR738,738,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Bulgaria)",,6,,,0,60,Europe,Bulgaria,Plovdiv,Plovdiv,,Plovdiv,42.15,24.75,1,Monitor.bg,National,"On 7 November, parents gathered to protest at a daycare center in Plovdiv in support of an employee, who was blamed for giving harsh punishment to children. Protesters said the woman took good care of their children and the allegations were false. [size=no report]",0,1573586487,BGR
6335181,422,LBN2250,2250,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Lebanon)","Students (Lebanon)",6,,,0,60,"Middle East",Lebanon,South,Tyr,,Tyr,33.2733,35.1939,1,"National News Agency Lebanon",National,"On November 7 2019, Lebanese citizens continued to demonstrate for a 22nd day for a government reform. Students across Lebanon, joined demonstrations for a second day. A demonstration was held at Tyr's al Alam square. [size=no report]",0,1573506507,LBN
6338765,643,RUS3480,3480,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Russia)","KPRF: Communist Party of the Russian Federation",6,,,0,60,Europe,Russia,"Tomsk Oblast","Tomsk Municipality",,Tomsk,56.4977,84.9744,1,"Moskovskij Komsomolets",National,"On November 7, under 100 people took part in an authorized protest organized by the KPRF in Tomsk on the 102nd anniversary of the October Revolution, criticizing the policies of the government and calling for Vladimir Putin's resignation. [size=under 100]",0,1573586487,RUS
6335182,422,LBN2254,2254,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Lebanon)","Students (Lebanon)",6,,,0,60,"Middle East",Lebanon,Nabatiye,Nabatiye,,Nabatiye,33.3789,35.4839,1,"National News Agency Lebanon",National,"On November 7 2019, Lebanese citizens continued to demonstrate for a 22nd day for a government reform. Students across Lebanon, joined demonstrations for a second day. A demonstration was held in Nabatiye. [size=no report]",0,1573506507,LBN
6338766,643,RUS3481,3481,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Russia)","KPRF: Communist Party of the Russian Federation",6,,,0,60,Europe,Russia,"Khabarovsk Krai","Khabarovsk Municipality",,Khabarovsk,48.4827,135.0838,1,"Moskovskij Komsomolets",National,"On November 7, about 20 people took part in an authorized protest organized by the KPRF in Khabarovsk on the 102nd anniversary of the October Revolution, criticizing the policies of the government and calling for Vladimir Putin's resignation. [size=about 20]",0,1573586487,RUS
6335184,368,IRQ21891,21891,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Labour Group (Iraq)",6,,,0,60,"Middle East",Iraq,Sulaymaniyah,Kalar,,Kalar,34.6281,45.3185,1,"NRT News",National,"On November 7, workers at the Kalar, in Sulaymaniya province, prosecution office protested political interference in their work. [size=no report]",0,1573506507,IRQ
6338769,688,SRB1244,1244,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Serbia)","Labour Group (Serbia)",6,,,0,60,Europe,Serbia,Belgrade,Belgrade,,"Belgrade-Savski Venac",44.7821,20.4517,1,"N1TV Online",Regional,"On November 7, several hundred employees of city infrastructure services protested in Belgrade, Serbia, demanding a pay rise of 10%. [size=several hundred]",0,1573586487,SRB
6336979,50,BGD16870,16870,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Bangladesh)","Labour Group (Bangladesh)",6,,,0,60,"Southern Asia",Bangladesh,Dhaka,Dhaka,Savar,Ashulia,23.8964,90.3262,1,"Daily Star (Bangladesh)",National,"On Nov 7, several hundred workers of an RMG factory staged a protest demonstration in front of factory in Ashulia (Savar) protesting the sacking of 60 workers without prior notice. [size=several hundred]",0,1573566094,BGD
6334680,368,IRQ21883,21883,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Iraq)","Labour Group (Iraq)",6,,,0,60,"Middle East",Iraq,Basrah,Al-Zubair,,"Umm Qasr",30.0342,47.9294,1,"AP, Al Mirbad",National-International,"On November 7, people at the Umm Qasr port in Basra prevented goods from entering or leaving the port. They are protesting government corruption and lack of adequate jobs. Police forces had reopened the port hours before. [size=no report]",0,1573506506,IRQ
6334938,422,LBN2266,2266,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Lebanon)","Students (Lebanon)",6,,,0,60,"Middle East",Lebanon,North,Zgharta,,Zgharta,34.3974,35.8949,1,"An Nahar",Regional,"On November 7 2019, Lebanese citizens continued to demonstrate for a 22nd day for a government reform. Students blocked the entrance to schools and the Antonine University's Magdalia Branch in Zgharta. [size=no report]",0,1573506507,LBN
6334939,422,LBN2267,2267,"07 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Lebanon)","Students (Lebanon)",6,,,0,60,"Middle East",Lebanon,North,Koura,,"Ras Masqa",34.3504,35.7463,1,"An Nahar",Regional,"On November 7 2019, Lebanese citizens continued to demonstrate for a 22nd day for a government reform. Students blocked the entrance to the Lebanese University in Ras Masqaa. [size=no report]",0,1573506507,LBN
